"","C245PW0","childid"
"921",NA,"0056017C"
"922",110.78,"0056019C"
"923",0,"0056021C"
"924",110.78,"0056022C"
"925",97.85,"0056023C"
"926",0,"0056024C"
"927",199.64,"0057001C"
"928",199.64,"0057002C"
"929",262.56,"0057003C"
"930",198.99,"0057004C"
"931",284.96,"0057005C"
"932",194.85,"0057006C"
"933",211.48,"0057007C"
"934",194.85,"0057008C"
"935",206.59,"0057009C"
"936",884.36,"0057010C"
"937",0,"0057012C"
"938",939.85,"0057013C"
"939",198.99,"0057015C"
"940",211.48,"0057016C"
"941",214.31,"0057017C"
"942",628.56,"0057018C"
"943",194.85,"0057019C"
"944",892.34,"0057020C"
"945",211.48,"0057021C"
"946",194.85,"0057022C"
"947",199.64,"0057023C"
"948",0,"0057024C"
"949",884.36,"0057025C"
"950",0,"0057026C"
"951",NA,"0057040C"
"952",NA,"0058001C"
"953",115.27,"0058002C"
"954",NA,"0058003C"
"955",NA,"0058004C"
"956",NA,"0058005C"
"957",0,"0058006C"
"958",NA,"0058007C"
"959",111.7,"0058008C"
"960",NA,"0058009C"
"961",149.58,"0058010C"
"962",NA,"0058011C"
"963",115.64,"0058012C"
"964",NA,"0058013C"
"965",190.28,"0058014C"
"966",NA,"0058015C"
"967",112.87,"0058016C"
"968",NA,"0058017C"
"969",NA,"0058018C"
"970",101.23,"0058019C"
"971",152.42,"0058020C"
"972",0,"0058021C"
"973",NA,"0058022C"
"974",NA,"0058024C"
"975",NA,"0058025C"
"976",NA,"0060001C"
"977",NA,"0060002C"
"978",NA,"0060003C"
"979",NA,"0060004C"
"980",NA,"0060005C"
"981",NA,"0060006C"
"982",NA,"0060007C"
"983",NA,"0060008C"
"984",NA,"0060009C"
"985",NA,"0060010C"
"986",NA,"0060011C"
"987",NA,"0060012C"
"988",NA,"0060013C"
"989",NA,"0060014C"
"990",389.57,"0062001C"
"991",0,"0062004C"
"992",1288.28,"0062005C"
"993",245.19,"0062009C"
"994",283.85,"0062012C"
"995",361.95,"0062013C"
"996",324.12,"0062015C"
"997",313.21,"0062016C"
"998",267.09,"0062017C"
"999",0,"0062019C"
"1000",571.8,"0062022C"
"1001",NA,"0062024C"
"1002",0,"0064001C"
"1003",0,"0064002C"
"1004",145.99,"0064003C"
"1005",0,"0064004C"
"1006",67.78,"0064005C"
"1007",61.84,"0064006C"
"1008",0,"0064007C"
"1009",507.47,"0064008C"
"1010",738.3,"0064009C"
"1011",212.63,"0064010C"
"1012",688.51,"0064011C"
"1013",241.72,"0064012C"
"1014",190.75,"0064013C"
"1015",477.64,"0064014C"
